,precision,recall,f1-score,support
Speed limit (20km/h),0.15,0.013846153846153847,0.02535211267605634,650.0
Speed limit (30km/h),0.26944444444444443,0.4470046082949309,0.3362218370883882,434.0
Speed limit (50km/h),0.8560606060606061,0.9432387312186978,0.897537728355838,599.0
Speed limit (60km/h),0.780952380952381,0.8631578947368421,0.8200000000000001,380.0
Speed limit (70km/h),0.9391304347826087,0.935064935064935,0.9370932754880694,693.0
Speed limit (80km/h),0.9611111111111111,0.9928263988522238,0.976711362032463,697.0
End of speed limit (80km/h),0.8777777777777778,0.7620578778135049,0.8158347676419965,311.0
Speed limit (100km/h),0.9809523809523809,0.5819209039548022,0.7304964539007092,354.0
Speed limit (120km/h),0.8466666666666667,0.4551971326164875,0.5920745920745921,279.0
No passing,0.7166666666666667,0.8896551724137931,0.793846153846154,290.0
No passing veh over 3.5 tons,0.45384615384615384,0.6232394366197183,0.5252225519287834,284.0
Right-of-way at intersection,0.5166666666666667,0.16847826086956522,0.2540983606557377,184.0
Priority road,0.14933333333333335,0.47863247863247865,0.22764227642276422,234.0
Yield,0.4111111111111111,0.24666666666666667,0.3083333333333333,150.0
Stop,0.03333333333333333,0.17647058823529413,0.056074766355140186,17.0
No vehicles,0.6416666666666667,0.5167785234899329,0.5724907063197026,149.0
Veh > 3.5 tons prohibited,0.7466666666666667,0.19546247818499127,0.30982019363762103,573.0
No entry,0.1,0.13636363636363635,0.11538461538461538,66.0
General caution,0.65625,0.824607329842932,0.7308584686774943,382.0
Dangerous curve left,0.4666666666666667,0.672,0.5508196721311476,125.0
Dangerous curve right,0.5,0.24193548387096775,0.32608695652173914,124.0
Double curve,0.22,0.44,0.29333333333333333,75.0
Bumpy road,0.4444444444444444,0.40404040404040403,0.4232804232804233,99.0
Slippery road,0.23555555555555555,0.3261538461538461,0.2735483870967742,325.0
Road narrows on the right,0.4066666666666667,0.3696969696969697,0.38730158730158726,165.0
Road work,0.14074074074074075,0.5846153846153846,0.22686567164179106,65.0
Traffic signals,0.8833333333333333,0.31547619047619047,0.46491228070175433,168.0
Pedestrians,0.9714285714285714,0.9807692307692307,0.9760765550239234,208.0
Children crossing,0.9916666666666667,0.6363636363636364,0.7752442996742672,187.0
Bicycles crossing,0.7025641025641025,0.9856115107913669,0.8203592814371258,278.0
Beware of ice/snow,0.7083333333333334,0.8947368421052632,0.7906976744186046,95.0
Wild animals crossing,0.8666666666666667,0.6265060240963856,0.7272727272727273,83.0
End speed + passing limits,0.8623188405797102,0.950479233226837,0.9042553191489361,626.0
Turn right ahead,0.8777777777777778,0.8977272727272727,0.8876404494382022,88.0
Turn left ahead,0.6393939393939394,0.264576802507837,0.3742793791574279,1595.0
Ahead only,0.6555555555555556,0.5,0.5673076923076924,118.0
Go straight or right,0.1,0.125,0.11111111111111112,48.0
Go straight or left,0.17777777777777778,0.5517241379310345,0.2689075630252101,29.0
Keep right,0.1126984126984127,0.3034188034188034,0.16435185185185186,234.0
Keep left,0.5933333333333334,0.6054421768707483,0.5993265993265995,147.0
Roundabout mandatory,0.20666666666666667,0.4025974025974026,0.27312775330396477,231.0
End of no passing,0.26,0.38235294117647056,0.30952380952380953,306.0
End no passing veh > 3.5 tons,0.6354166666666666,0.6288659793814433,0.6321243523316062,485.0
accuracy,0.5675376088677752,0.5675376088677752,0.5675376088677752,0.5675376088677752
macro avg,0.5522474911524458,0.5428083600124438,0.5151825182832807,12630.0
weighted avg,0.6324787886464854,0.5675376088677752,0.5651702827918201,12630.0
